Nom,Adresse,Emails,Site,Activité,Numéro de Téléphone,latitude,longitude
NUTRAVERIS,18 C RUE DU SABOT 22440 Ploufragan,contact@nutraveris.com,info@nutraveris.com,http://www.nutraveris.com/,Recherche-développement en autres sciences physiques et naturelles,Tél. : 02 96 76 63 26 - 02 96 76 54 87,48.4789315,-2.7982382
COMMUNAUTE COMMUNES PAYS DE REDON,AVENUE PARADIS 44290 GUEMENE PENFAO,dev.urbain@cc-pays-redon.fr,environnement@cc-pays-redon.fr,theatre.ccpr@cc-pays-redon.fr,www.mediatheques@cc-pays-redon.fr,https://www.cc-pays-redon.fr,47.6272151,-1.8264583
LA CREATION FLEURIE,37 RUE DOCT CHAILLOUX 49330 CHAMPIGNE,contact@lacreationfleurie.fr,https://www.lacreationfleurie.fr,Fleuristes,,47.6509,-0.4438
STARTUP,CELEDEV,contact@celedev.com,https://www.celedev.com,Services aux particuliers,
LES TRAITEURS DU LOCH,1 ROUTE ZONE DE LANN GUINET 56390 Grand-Champ,,http://www.guylesommer.fr/,Services des traiteurs,Tél. : 02 97 61 42 58 - 01 18 18 27 12,47.8178,-2.81
MENUISERIE HELLEUX SARL,31 RUE COLBERT 35300 Fougères,contact@helleux.fr,http://www.helleux.fr/,Fabrication de charpentes et d'autres menuiseries,,48.3435328,-1.1862153
ARTI MOB MENUISERIE,ZA DE BEAUSEJOUR 35520 La Mézière,,http://www.menuiserie-artimob.fr/,Travaux de menuiserie bois et PVC,,48.2465,-1.725
AVISERV,ZA DES COURONNIERES 49530 Orée d'Anjou,info@avi-serv.fr,http://www.avi-serv.fr/,Activités de soutien à la production animale,
SAMSIC INTERIM ROUEN,4 RUE DE CHATILLON 35510 CESSON-SEVIGNE,contact@samsic.fr,http://www.samsic.fr/,,,48.1147946,-1.581563
GENDRY SERVICE LOCATION (GSL),1 RUE DE HONGRIE 53400 Craon,contact@groupegendry.com,http://www.groupegendry.com/,Location avec opérateur de matériel de construction,,47.8400509,-0.9674031
SAS LES CHAMPS JOUAULT,LIEUDIT LES CHAMPS JOUAULT 50670 Cuves,contact@champs-jouault.com,http://www.champs-jouault.com/,Traitement et élimination des déchets non dangereux,,48.7512,-1.1231
CAFEX,12 BIS RUE PATIS TATELIN 35700 Rennes,accueil@cafex.fr,http://www.cafex.fr/,Activités comptables,Tél. : 02 23 45 62 31 - 02 99 23 44 88,48.112,-1.6743
IPRINT PRODUCTION,23 AVENUE PAUL DUPLAIX 56000 VANNES,contact@iprint-production.fr,http://www.iprint-production.fr/,,,47.6560908,-2.7193082
INDELEC OUEST,2 RUE EDOUARD BRANLY 35170 Bruz,contact@indelec.com,info@indelec.com,http://www.indelec.com/,Travaux d'installation électrique dans tous locaux,Tél. : 02 99 14 55 55 - 04 55 50 50 60,48.0351507,-1.7282654
SARL LE BARBIER,Route de Talara Benalo 56420 PLAUDREN,contact@lb56.fr,https://www.lb56.fr,Travaux d'installation électrique dans tous locaux,,47.7787,-2.6933
LE KEEWEE,7 RUE IRLANDE 56860 SENE,contact@lekeewee.com,https://www.lekeewee.com,Articles et librairies erotiques,,47.6511288,-2.7203973
SARL DANIEL MOQUET SIGNE VOS ALLEES,LA COUTURE 53100 Parigné-sur-Braye,,http://www.danielmoquetsignevosclotures.fr/,Conseil pour les affaires et autres conseils de gestion,,48.3084979,-0.6733927
L OEIL PROSPECT,48 MAIL GASTON BARDET 35650 LE RHEU,contact@zaurau.com,https://www.zaurau.com,Fichiers d'adresses,,48.1009981,-1.7867708
AKompagne,3 B RUE SAINTE ANNE 56250 ELVEN,contact@akompagne.fr,http://akompagne.fr,Autres services personnels n.c.a.,,47.7336475,-2.5911156
ETABLISSEMENTS RAULT,23 RUE DES FRERES LUMIERE 56000 Vannes,info@rault.fr,http://www.rault.fr/,Fabrication d'articles textiles sauf habillement,,47.6798941,-2.7696541
SOFISE - SOLUTIONS FILTRATION SERVICES,21 RUE LOUIS PASTEUR 44119 Treillières,contact.internet@sofise-filtration.com,http://www.sofise-filtration.com/,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers,Tél. : 04 72 71 09 49 - 02 51 77 04 81,47.2806568,-1.5912697
COSY ART,5 BOULEVARD VINCENT GACHE 44262 NANTES 2,contact@cosy-art.fr,https://www.cosy-art.fr,Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage,,47.28167,8.45023
SARL BROCHU Michel,LA SANGLE 44390 Nort-sur-Erdre,accueil@atelier-isac.fr,http://www.atelier-isac.fr/,Travaux de menuiserie bois et PVC,,47.4373422,-1.5120465
DROPBIRD INVESTISSEMENT,2 RUE DE LA CHATAIGNERAIE 35510 Cesson-Sévigné,contact@dropbird.fr,http://www.dropbird.fr/,Gestion d'installations informatiques,Tél. : 09 67 86 18 36 - 06 98 72 93 94,48.1212,-1.603
5axesMO,16 RUE SAINTE ANNE BARBECHAT 44450 DIVATTE SUR LOIRE,contact@5axesmo.fr,http://5axesmo.fr,Réparation de machines et équipements mécaniques,,47.2772809,-1.2883813
INFORMATIQUE ET GESTION APPLIQUEE,2 RUE DES VILLES BILLY 35780 La Richardais,,http://www.infogesta.fr/,Conseil pour les affaires et autres conseils de gestion,,48.6121435,-2.046493
AIDE AU LOGIS,20 RUE DE LA SANTE 35000 RENNES,contact@aide-au-logis.fr,http://aide-au-logis.fr,Autres services personnels n.c.a.,,48.1081669,-1.686942
OMEG'A Consulteam,LA RIGOURDIERE CENTRE D'AFFAIRES ALIZES 35510 CESSON SEVIGNE,info@omegaconsulteam.com,https://www.omegaconsulteam.com,Conseil pour les affaires et autres conseils de gestion,,48.1212,-1.603
LA MAISON DU MIEUX ETRE,8 RUE REFEMBRE 03000 MOULINS,contact@maisondumieuxetre.fr,https://www.maisondumieuxetre.fr,Soins hors d'un cadre reglemente,,46.5606319,3.3367552
HY-LINE FRANCE,Za de Kersuguet Zi de Calouet 22600 LOUDEAC,contact@hyline.com,info@hyline.com,https://www.hyline.com,Élevage de volailles,,48.1943,-2.8439
RIOT PASCAL,4 PLACE DE L'EGLISE 35520 Melesse,,http://www.riotpascal.com/,Travaux de peinture et vitrerie,,48.2174078,-1.6972402
SARL HAUT MEYREAU,3 RUE DE L'EGLISE 53200 Ménil,,http://www.haut-meyreau.fr/,Commerce de gros (commerce interentreprises) de boissons,Tél. : 02 43 53 03 33 - 02 43 07 01 98,47.7993,-0.7209
FLOCKAGE 2000,LA MASSUE 35170 Bruz,,http://www.flockage2000.com/,Autre imprimerie (labeur),,48.0343622,-1.7325604
TRANSPORT LOGISTIQUE LEMESLE,ZA DU PIQUET 35370 Étrelles,,http://www.transport-t2l.com/,Transports routiers de fret interurbains,,48.057,-1.146
MONTAGE D'INSTALLATIONS INDUSTRIELLES LOUDEACIENNE,LIEU-DIT ZA DU LARHON 22600 Saint-Barnabé,contact01@miil.fr,http://www.miil.fr/,Fabrication de machines pour l'industrie agro-alimentaire,,48.1943,-2.8439
SPECIALITES PET FOOD,ZA DU GOHELIS 56250 Elven,contact@diana-petfood.com,spfrecrutement@diana-petfood.com,http://www.diana-petfood.com/,Fabrication d'aliments pour animaux de compagnie,,47.6816,-2.6129
PLANET KART CROSS,RUE DE L ATLANTIQUE ZI DE LA SANGLE 44390 NORT SUR ERDRE,contact@planet-kartcross.com,https://www.planet-kartcross.com,Commerce de gros d'équipements automobiles,,47.4366511,-1.5119341
BOUCHARD,13 RUE STE ANNE 35470 La Noë-Blanche,brianpolak@bouchardinsurance.com,http://www.bouchardinsurance.com/,Activités des sièges sociaux,Tél. : 04 70 20 17 73 - 02 99 43 23 32,47.804084,-1.7435177
